Starting Balance: 100000.00
Trade 255: WIN | Profit: 0.06 | Balance: 102807.57 | Win Rate: 0.4392
Trade 256: WIN | Profit: 0.02 | Balance: 102837.59 | Win Rate: 0.4414
Trade 257: LOSS | Profit: -0.01 | Balance: 102827.58 | Win Rate: 0.4397
Trade 258: LOSS | Profit: -0.15 | Balance: 102817.43 | Win Rate: 0.4380
Trade 259: WIN | Profit: 0.11 | Balance: 102847.55 | Win Rate: 0.4402
Trade 260: WIN | Profit: 0.01 | Balance: 102877.56 | Win Rate: 0.4423
Trade 261: WIN | Profit: 0.03 | Balance: 102907.59 | Win Rate: 0.4444
Trade 262: LOSS | Profit: -0.01 | Balance: 102897.58 | Win Rate: 0.4427
Trade 263: LOSS | Profit: -0.04 | Balance: 102887.54 | Win Rate: 0.4411
Trade 264: LOSS | Profit: -0.01 | Balance: 102877.53 | Win Rate: 0.4394
Trade 265: WIN | Profit: 0.09 | Balance: 102907.61 | Win Rate: 0.4415
Trade 266: LOSS | Profit: -0.03 | Balance: 102897.58 | Win Rate: 0.4398
Trade 267: LOSS | Profit: -0.00 | Balance: 102887.58 | Win Rate: 0.4382
Trade 268: LOSS | Profit: -0.04 | Balance: 102877.54 | Win Rate: 0.4366
Trade 269: LOSS | Profit: -0.05 | Balance: 102867.49 | Win Rate: 0.4349
Trade 270: WIN | Profit: 0.08 | Balance: 102897.57 | Win Rate: 0.4370
Trade 271: LOSS | Profit: -0.02 | Balance: 102887.55 | Win Rate: 0.4354
Trade 272: WIN | Profit: 0.02 | Balance: 102917.57 | Win Rate: 0.4375
Trade 273: LOSS | Profit: -0.06 | Balance: 102907.51 | Win Rate: 0.4359
Trade 274: WIN | Profit: 0.04 | Balance: 102937.55 | Win Rate: 0.4380
Trade 275: LOSS | Profit: -0.09 | Balance: 102927.45 | Win Rate: 0.4364
Trade 276: WIN | Profit: 0.04 | Balance: 102957.49 | Win Rate: 0.4384
Trade 277: WIN | Profit: 0.03 | Balance: 102987.53 | Win Rate: 0.4404
Trade 278: LOSS | Profit: -0.00 | Balance: 102977.53 | Win Rate: 0.4388
Trade 279: LOSS | Profit: -0.00 | Balance: 102967.52 | Win Rate: 0.4373
Trade 280: LOSS | Profit: -0.04 | Balance: 102957.48 | Win Rate: 0.4357
Trade 281: LOSS | Profit: -0.03 | Balance: 102947.45 | Win Rate: 0.4342
Trade 282: WIN | Profit: 0.17 | Balance: 102977.62 | Win Rate: 0.4362
Trade 283: WIN | Profit: 0.05 | Balance: 103007.67 | Win Rate: 0.4382
Trade 284: WIN | Profit: 0.03 | Balance: 103037.69 | Win Rate: 0.4401
Trade 285: LOSS | Profit: -0.12 | Balance: 103027.57 | Win Rate: 0.4386
Trade 286: WIN | Profit: 0.00 | Balance: 103057.57 | Win Rate: 0.4406
Trade 287: WIN | Profit: 0.00 | Balance: 103117.58 | Win Rate: 0.4425
Trade 288: LOSS | Profit: -0.12 | Balance: 103107.46 | Win Rate: 0.4410
Trade 289: LOSS | Profit: -0.04 | Balance: 103097.42 | Win Rate: 0.4394
Trade 290: LOSS | Profit: -0.17 | Balance: 103087.25 | Win Rate: 0.4379
Trade 291: LOSS | Profit: -0.03 | Balance: 103077.22 | Win Rate: 0.4364
Trade 292: LOSS | Profit: -0.05 | Balance: 103067.16 | Win Rate: 0.4349
Trade 293: LOSS | Profit: -0.04 | Balance: 103057.13 | Win Rate: 0.4334
Trade 294: LOSS | Profit: -0.06 | Balance: 103047.07 | Win Rate: 0.4320
